R1-PINH1,81.63,65.59,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,25.71,87.11,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,129.80,58.30,270.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,160.47,14.08,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,143.56,57.62,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,92.79,25.08,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,158.77,14.08,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,82.93,63.01,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,159.40,54.07,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,159.37,48.97,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,129.87,50.19,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,90.89,25.08,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,88.99,28.72,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,23.53,34.01,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,25.71,92.58,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,25.71,89.84,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,25.71,95.31,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,23.53,35.61,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.23,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,60.37,108.22,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.16,50.22,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,20.44,108.21,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.37,38.28,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.29,108.11,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.26,18.59,180.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,95.21,24.85,90.00,,SJ
TP1,10.63,72.29,0.00,TPTP20R,TP20R
TP10,22.09,13.95,0.00,TPTP20R,TP20R
TP11,10.39,13.95,0.00,TPTP20R,TP20R
TP12,16.64,72.29,0.00,TPTP20R,TP20R
TP13,70.29,37.71,0.00,TPTP20R,TP20R
TP14,120.09,58.79,0.00,TPTP20R,TP20R
TP15,18.57,13.95,0.00,TPTP20R,TP20R
TP16,165.59,12.29,0.00,TPTP20R,TP20R
TP17,86.44,40.79,0.00,TPTP20R,TP20R
TP2,13.63,72.29,0.00,TPTP20R,TP20R
TP3,89.85,79.79,0.00,TPTP20R,TP20R
TP4,89.77,100.79,0.00,TPTP20R,TP20R
TP5,4.69,12.79,0.00,TPTP20R,TP20R
TP6,4.61,72.29,0.00,TPTP20R,TP20R
TP7,15.84,13.95,0.00,TPTP20R,TP20R
TP8,13.12,13.95,0.00,TPTP20R,TP20R
TP9,7.62,72.29,0.00,TPTP20R,TP20R
U1,12.44,37.69,90.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.76,57.10,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,79.10,56.12,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,120.62,54.03,270.00,MAX17048G+T10,SON50P200X200X80-9N
